1	DANZEN！ふたりはプリキュア	1
2	ゲッチュウ！らぶらぶぅ？！	1
3	雨のち天晴れ	1
4	☆SHINING STAR☆	1
5	キュア・アクション	1
6	ジェットコースターなM☆M	1
7	好きなのに…　ビミョ～!!	1
8	Heart to Heart	1
9	ありったけの笑顔で	1
10	DARKNESS	1
11	プリティー・エクササイズ	1
12	プリキュア登場！～VOCAL RAINBOW STORM～	1
13	It's so cool～イケてるハート～	1
14	TSUBOMI	1
15	プリキュアテンション BING BING BANG BANG!	1
16	ここにいるよ	1
17	ゲッチュウ！らぶらぶぅ？！ ～VERONE Chorus Version～	1
18	Never Stop！乙女タイム	1
19	情熱！∞（むげんだい）	1
20	光になりたい～like a diamonds～	1
21	Beautiful World	1
22	DANZEN！ふたりはプリキュア ～Nagi-nagi & Hono-hono Version～	1
23	プリプリプリキュア	1
24	ゲッチュウ!らぶらぶぅ?!	1
25	DANZEN！ふたりはプリキュア　Ver.MaxHeart	2
26	ムリムリ!?ありあり!!INじゃぁな～い?!	2
27	ワンダー☆ウインター☆ヤッター!!	2
28	木枯らしのDing Dong	2
29	ココロ　ハ　シッテ　イル。	2
30	delight万歳!!	2
31	if…	2
32	いつもとなりで	2
33	わたしは光	2
34	Sunset☆realize	2
35	Max HeartでGO GO GO!!	2
36	虹になろうよ	2
37	ありがとう	2
38	大好きがいっぱい	2
39	シアワセのかくれんぼ	2
40	I believe in	2
41	同じ夢みて～SET ME FREE～	2
42	☆ A Wish of a Heart ☆	2
43	～α（アルファ）～	2
44	信じる力で勇気100倍!!	2
45	ありがとう～あなたに会えてよかった～	2
46	～To be continued～	2
47	チャレンジ☆チェンジ	2
48	Happy ending	2
49	旅立ちの朝に	2
50	旅立ちの朝に　(piano ver.)	2
51	希望の涙 ～Tears for tomorrow～	2
52	心のチカラ	2
53	ギャグ100回分愛して下さい	2
54	にぎやかな冬	2
55	Crystal	2
56	DANZEN！ふたりはプリキュア　Ver.MaxHeart	2
57	ムリムリ!?ありあり!!INじゃぁな～い?!	2
58	ワンダー☆ウインター☆ヤッター!!	2
59	まかせて★スプラッシュ☆スター	3
60	「笑うが勝ち！」でGO！	3
61	ガンバランスdeダンス	3
62	Pa！っとハレバレじゃん♪	3
63	今日も元気！	3
64	ずっと、ずっと…ね	3
65	海が見えたら	3
66	blessing	3
67	謎の行方	3
68	Yes！プリキュアスマイル♪～夢に向かって～	3
69	エガオノチカラ	3
70	my growing days	3
71	バイセコー	3
72	A message of wind	3
73	７つの泉を奪還せよ！！～フィフスエレメントの逆襲～	3
74	ピカピカ・ヒーリング	3
75	海に月、心に光、キラキラと。	3
76	Girl's Work	3
77	奇跡の雫	3
78	ガンバランスdeダンス～咲＆舞version～	3
79	まかせて★スプラッシュ☆スター	3
80	「笑うが勝ち!」でGO！	3
81	まかせて★スプラッシュ☆スター(cover Ver.)	3
82	プリキュア５、スマイルgo go！	4
83	キラキラしちゃってMy True Love!	4
84	ガンバランスdeダンス～夢みる奇跡たち～	4
85	笑ったら最強!!	4
86	とびっきり！勇気の扉	4
87	メタモルフォーゼ～青春乙女LOVE&DREAM～	4
88	もん！太陽ドリーム	4
89	リバーシブル	4
90	だぶるぴーす	4
91	とびっきり！勇気の扉 album ver.	4
92	プリキュアfly	4
93	グリーン・ノート	4
94	Heavenly Blue	4
95	きっと大丈夫	4
96	マスカット	4
97	信頼	4
98	情熱	4
99	夢みる女の子	4
